SN 2001iy 52288.66 Z  5.275e+00 1.712e-01  23.7               
SN 2001iy 52289.48 Z  4.796e+00 2.298e-01  24.2               
SN 2001iy 52323.63 Z  4.110e+00 9.018e-01  46.0               
SN 2001iy 52369.38 Z -2.252e-16 1.377e+00  75.1               
SN 2001iy 52377.35 Z -1.743e-01 1.712e-01  80.2               
SN 2001iy 52378.35 Z  7.100e-01 3.265e-01  80.9               
SN 2001jb 52163.54 I  3.590e-01 9.767e-01 -52.4               
SN 2001jb 52174.56 I -8.964e-02 2.353e-01 -45.9               
SN 2001jb 52191.43 I  2.275e-01 9.035e-01 -36.0               
SN 2001jb 52198.45 I -3.927e-02 5.627e-01 -31.9               
SN 2001jb 52204.46 I  1.756e-01 4.148e-01 -28.3               
SN 2001jb 52225.31 I  3.417e-01 4.581e-01 -16.0 V -0.819 0.150
SN 2001jb 52231.24 I  9.052e-01 3.463e-01 -12.5 V -0.854 0.150
SN 2001jb 52232.26 I  1.180e+00 4.974e-01 -11.9 V -0.867 0.150
SN 2001jb 52236.24 I  2.134e+00 4.305e-01  -9.6 V -0.932 0.150
SN 2001jb 52252.23 I  4.962e+00 4.533e-01  -0.2 V -0.950 0.150
SN 2001jb 52263.23 I  3.705e+00 4.541e-01   6.3 V -0.968 0.150
SN 2001jb 52283.28 I  1.987e+00 5.210e-01  18.1 V -0.587 0.150
SN 2001jb 52288.36 I  1.578e+00 4.793e-01  21.1 V -0.528 0.150
SN 2001jb 52289.36 I  1.478e+00 1.310e+00  21.7 V -0.519 0.150
SN 2001jb 52323.23 I  1.351e+00 2.193e+00  41.6               
SN 2001jb 52204.51 R  7.520e-02 1.192e-01 -28.3               
SN 2001jb 52231.27 R  2.252e-01 1.067e-01 -12.5 B -0.374 0.148
SN 2001jb 52232.23 R  9.051e-02 2.626e-01 -12.0 B -0.396 0.148
SN 2001jb 52236.21 R  4.895e-01 1.985e-01  -9.6 B -0.508 0.148
SN 2001jb 52252.21 R  3.398e+00 2.426e-01  -0.2 B -0.488 0.148
SN 2001jb 52283.34 R  3.524e-01 1.434e-01  18.1 B -0.249 0.148
SN 2001jb 52288.39 R  2.756e-01 1.441e-01  21.1 B -0.243 0.148
SN 2001jb 52289.29 R -5.715e-02 2.087e-01  21.7               
SN 2001jb 52198.46 Z -3.272e+00 2.664e+00 -31.9               
SN 2001jb 52204.44 Z  0.000e+00 1.649e-01 -28.3               
SN 2001jb 52231.31 Z  1.108e+00 8.707e-01 -12.5               
SN 2001jb 52232.30 Z  1.149e+00 7.471e-01 -11.9               
SN 2001jb 52236.27 Z  1.005e+00 5.771e-01  -9.6               
SN 2001jb 52252.27 Z  5.235e+00 9.583e-01  -0.2               
SN 2001jb 52283.31 Z  2.246e+00 7.213e-01  18.1               
